filepaths,labels,data set,scientific name,order
train/AFRICAN FIREFINCH/059.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/051.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/050.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/049.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/046.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/044.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/037.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/043.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/039.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/038.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/052.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/036.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/025.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/026.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/062.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/061.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/067.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/066.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/065.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/064.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/024.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/063.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/056.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/055.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/054.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/053.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/060.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/058.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/057.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/068.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/069.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/070.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/098.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/085.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/127.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/122.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/084.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/083.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/100.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/099.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/088.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/074.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/073.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/103.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/132.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/133.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/072.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/086.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/101.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/076.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/089.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/090.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/091.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/092.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/093.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/075.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/095.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/096.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/097.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/094.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/104.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/080.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/081.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/102.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/126.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/082.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/087.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/106.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/116.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/115.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/114.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/120.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/119.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/118.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/117.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/111.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/110.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/109.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/108.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/107.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/113.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/112.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/079.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/134.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/077.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/071.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/121.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/136.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/135.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/131.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/137.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/130.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/128.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/125.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/124.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/123.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/105.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/078.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AFRICAN FIREFINCH/129.jpg,AFRICAN FIREFINCH,train,lagonosticta rubricata,sparrows
train/AMERICAN GOLDFINCH/003.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/100.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/069.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/012.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/009.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/008.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/004.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/002.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/005.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/001.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/067.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/086.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/019.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/011.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/010.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/023.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/028.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/026.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/025.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/032.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/017.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/018.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/024.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/029.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/033.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/051.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/041.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/045.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/040.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/030.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/027.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/007.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/046.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/066.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/020.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/036.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/022.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/031.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/050.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/049.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/047.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/044.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/043.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/042.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/039.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/037.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/035.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/016.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/021.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/038.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/052.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/053.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/054.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/055.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/056.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/057.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/034.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/060.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/061.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/062.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/063.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/064.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/065.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/058.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/059.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/006.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/093.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/014.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/074.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/071.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/125.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/129.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/120.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/121.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/101.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/072.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/076.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/082.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/083.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/084.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/102.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/075.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/092.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/073.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/088.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/081.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/015.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/099.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/098.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/094.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/097.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/095.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/091.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/090.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/087.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/068.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/013.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/096.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/077.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/130.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/089.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/080.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/104.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/111.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/119.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/105.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/106.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/107.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/108.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/109.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/112.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/113.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/114.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/115.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/116.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/117.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/118.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/110.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/132.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/123.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/078.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/070.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/133.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/131.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/128.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
train/AMERICAN GOLDFINCH/134.jpg,AMERICAN GOLDFINCH,train,spinus tristis,sparrows
