Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
1992-11-20,"SAN LUIS, Argentina",Argentina,Non-Fatal,Destroyed,,Boeing,737-200C,No,0.0,Unknown,Unknown,0.0,0.0,0.0,113.0,VMC,,Foreign
1992-12-10,"QUITO, Ecuador",Ecuador,Fatal(10),Destroyed,,Rockwell,SABRELINER 75A,No,0.0,Unknown,Public Aircraft,10.0,0.0,0.0,0.0,IMC,,Foreign
1992-12-13,"MEXICO CITY, MEXICO",Mexico,Non-Fatal,Substantial,,Mcdonnell Douglas,DC-8-63,No,0.0,Unknown,Ferry,0.0,0.0,0.0,5.0,VMC,,Foreign
1992-12-15,"WEST CAICOS ISL, TURKS AND CAICOS ISLANDS",Turks And Caicos Islands,Non-Fatal,Substantial,,Grumman,G-21A,No,0.0,Unknown,Unknown,0.0,0.0,0.0,4.0,VMC,,Foreign
1992-12-19,GUAYAMA,,Non-Fatal,Substantial,,"Cuevas, Orlando S.",QUICKSILVER MXL 2,Yes,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause
1992-12-21,"QUITO, Ecuador",Ecuador,Fatal(5),Destroyed,,Piper,PA-34-200T,No,0.0,Unknown,Personal,5.0,0.0,0.0,0.0,IMC,,Foreign
1992-12-21,"FARO, Portugal",Portugal,Fatal(56),Destroyed,,Mcdonnell Douglas,DC-10-30F,No,,Unknown,Unknown,56.0,106.0,69.0,109.0,IMC,,Foreign
1992-12-29,"LORETO, MEXICO",Mexico,Non-Fatal,Substantial,Airplane,Piper,PA-34-200,No,0.0,Unknown,Personal,,,,2.0,VMC,,Foreign
1993-01-02,"BIMINI, Bahamas",Bahamas,Non-Fatal,Destroyed,,Piper,PA-31-350,No,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,,Foreign
1993-01-16,"WALKERS CAY, Bahamas",Bahamas,Fatal(2),Destroyed,,Beech,95-B55B,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,Foreign
1993-01-28,"Georgetown, Guyana",Guyana,Incident,Minor,,Cessna,402-C,No,0.0,Unknown,Positioning,0.0,0.0,0.0,2.0,VMC,,Foreign
1993-02-02,"BOGOTA, Colombia",Colombia,Incident,Minor,,Douglas,DC-8-54F,No,0.0,Unknown,Unknown,0.0,0.0,0.0,3.0,VMC,,Foreign
1993-02-03,"ROCK SOUND, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Piper,PA-32-260,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,Foreign
1993-02-07,ATLANTIC OCEAN,ATLANTIC OCEAN,Fatal(1),Destroyed,,Piper,PA-23-250,No,2.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1993-02-08,AGUADILLA,Puerto Rico,Fatal(2),Destroyed,,Forney,ERCOUPE F-1,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause
1993-02-08,VERMILLION 39,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,3.0,0.0,VMC,Maneuvering,Probable Cause
1993-02-17,"AURILLAC, FRANCE",France,Non-Fatal,Substantial,,Dassault-breguet,FALCON 10,No,2.0,Turbo Fan,Personal,0.0,0.0,0.0,9.0,VMC,,Foreign
1993-02-18,"SANTO DOMINGO, DOMINICAN REPUBLIC",Dominican Republic,Non-Fatal,Substantial,,Douglas,DC-7C,No,0.0,Unknown,Unknown,0.0,0.0,3.0,0.0,VMC,,Foreign
1993-02-27,"LORETO, Mexico",Mexico,Fatal(3),Destroyed,,Piper,PA-28-235,Yes,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,UNK,,Foreign
1993-02-28,RIO GRANDE,,Non-Fatal,Substantial,,Huddleston-bell,47G2,Yes,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Descent,Probable Cause
1993-03-15,"GUADALAJARA, Mexico",Mexico,Non-Fatal,Minor,,Boeing,727-232,No,0.0,Unknown,Unknown,0.0,0.0,1.0,73.0,VMC,,Foreign
1993-03-15,"GUADALAJARA, MEXICO",Mexico,Non-Fatal,Substantial,,Cessna,206,No,0.0,Unknown,Personal,0.0,0.0,1.0,73.0,VMC,,Foreign
1993-03-24,PACIFIC OCEAN,PACIFIC OCEAN,Fatal(1),Minor,,Bell,47G2A,No,1.0,Reciprocating,Aerial Observation,1.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1993-03-30,"CONGO TOWN, CONGO",Congo,Non-Fatal,Substantial,,Cessna,402B,No,0.0,Unknown,Unknown,0.0,0.0,0.0,8.0,VMC,,Foreign
1993-04-01,"NASSAU, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Piper,PA-23-250,No,0.0,Unknown,Unknown,0.0,0.0,2.0,2.0,VMC,,Foreign
1993-04-05,"GUATEMALA CITY, PANAMA",Panama,Non-Fatal,Substantial,,Boeing,767-251,No,0.0,Unknown,Unknown,0.0,0.0,9.0,215.0,VMC,,Foreign
1993-04-11,"N. ELEUTHERA I., BAHAMAS",Bahamas,Non-Fatal,Substantial,,Piper,PA-32-260,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,,Foreign
1993-04-19,"PVT RANCH BAJA, MEXICO",Mexico,Non-Fatal,Substantial,,Bruce,RV-6,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,Foreign
1993-04-25,CULEBRA,,Fatal(1),Destroyed,,Cessna,TU206D,No,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause
1993-04-27,"MIDDLE CAICOS, TURKS AND CAICOS ISLANDS",Turks And Caicos Islands,Non-Fatal,Substantial,,Cessna,401,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,,Foreign
1993-04-28,,American Samoa,Non-Fatal,Substantial,,Bell,47-G2,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
1993-05-02,"FOWL CAY, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Maule,M-5-235C,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,2.0,VMC,,Foreign
1993-05-04,"WEST END, Bahamas",Bahamas,Non-Fatal,Destroyed,,Piper,PA-32R-300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,Foreign
1993-06-03,"CHIHUAHUA, Mexico",Mexico,Fatal(3),Destroyed,,Aero Commander,680F,No,2.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,UNK,,Foreign
1993-06-03,"HUAZAPARES, Mexico",Mexico,Fatal(3),Destroyed,,Cessna,180G,No,1.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,VMC,,Foreign
1993-06-17,"COMAYAGUA, HONDURAS",Honduras,Non-Fatal,Substantial,,Cessna,CE-550,No,0.0,Unknown,Public Aircraft,0.0,0.0,0.0,2.0,VMC,Unknown,Probable Cause
1993-06-19,"ARUBA, ARUBA",Aruba,Non-Fatal,Substantial,,Cessna,421A,No,2.0,Reciprocating,Ferry,0.0,0.0,0.0,3.0,VMC,,Foreign
1993-07-10,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Piper,PA-31,No,2.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause
1993-07-12,"MARSEILLE, FRANCE",France,Fatal(4),Substantial,,Cessna,177RG,No,1.0,Reciprocating,Unknown,4.0,0.0,0.0,0.0,UNK,,Foreign
1993-07-16,CARIBBEAN SEA,CARIBBEAN SEA,Non-Fatal,,,Boeing,767-322ER,No,2.0,Turbo Fan,Unknown,0.0,1.0,2.0,161.0,IMC,Cruise,Probable Cause
1993-07-18,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,1.0,VMC,Cruise,Probable Cause
1993-07-26,CAROLINA,,Fatal(3),Substantial,,Hughes,369E,No,0.0,Unknown,Public Aircraft,3.0,0.0,0.0,0.0,VMC,,Factual
1993-07-31,"MARSH HARBOR, Bahamas",Bahamas,Fatal(4),Destroyed,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,,Foreign
1993-08-08,"CELLE-ARLOH, Germany",Germany,Fatal(3),Destroyed,,Mooney,M20J,Yes,1.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,UNK,,Foreign
1993-08-11,"MARJAN, SAUDI ARABIA",Saudi Arabia,Non-Fatal,Substantial,,Bell,212,No,2.0,Turbo Shaft,Unknown,0.0,0.0,0.0,6.0,UNK,,Foreign
1993-08-15,TINIAN,,Non-Fatal,Substantial,,Cessna,182C,No,1.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,Takeoff,Probable Cause
1993-08-16,"VALENSOL, France",France,Fatal(1),Destroyed,,Cessna,208B,Yes,1.0,Turbo Prop,Unknown,1.0,0.0,0.0,0.0,UNK,,Foreign
1993-08-18,"GUANTANAMO BAY, Cuba",Cuba,Non-Fatal,Destroyed,,Douglas,DC-8-61,No,4.0,Turbo Jet,Unknown,0.0,3.0,0.0,0.0,VMC,Approach,Foreign
1993-08-18,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,Airplane,Piper,PA-34-220,No,1.0,Reciprocating,Ferry,,,,1.0,VMC,Cruise,Probable Cause
1993-08-27,"MILAN, Italy",Italy,Incident,,,Boeing,747-100,No,0.0,Unknown,Unknown,0.0,0.0,1.0,370.0,UNK,,Foreign
1993-08-28,"CAYENNE, French Guiana",French Guiana,Fatal(1),Destroyed,,Christen Industries,PITTS S-2B,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,,Foreign
1993-09-05,"FREEPORT, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Beagle Aircraft,B 206 SERIES 1,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,6.0,VMC,,Foreign
1993-09-12,"SANDY POINT, Bahamas",Bahamas,Non-Fatal,Destroyed,,Cessna,402B,No,2.0,Reciprocating,Personal,0.0,8.0,0.0,0.0,VMC,,Foreign
1993-09-18,"EGWELL, Germany",Germany,Non-Fatal,Destroyed,,Hiller,H-23C,No,1.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,,Foreign
1993-09-19,AGUADILLA,Puerto Rico,Fatal(3),Destroyed,,Socata,TB 10,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1993-09-22,PACIFIC OCEAN,PACIFIC OCEAN,Fatal(2),Destroyed,,Bell,206B,No,1.0,Turbo Shaft,Aerial Observation,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1993-09-25,"LONG ISLAND, Turks And Caicos Islands",Turks And Caicos Islands,Non-Fatal,Destroyed,,Cessna,172F,No,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,,Foreign
1993-10-07,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Douglas,DC-3C,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
1993-10-12,"HOG CAY, Bahamas",Bahamas,Fatal(5),Destroyed,,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,VMC,,Foreign
1993-10-12,"CONGO TOWN, Congo",Congo,Fatal(2),Destroyed,,Cessna,402B,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,Foreign
1993-10-16,CULEBRA,,Non-Fatal,Substantial,,Cessna,172M,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause
1993-10-22,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,,,Boeing,767-300,No,2.0,Turbo Fan,Unknown,0.0,1.0,2.0,105.0,VMC,Cruise,Probable Cause
1993-10-25,HIGH ISLAND 467,HIGH ISLAND,Non-Fatal,Substantial,,Bell,206B,No,1.0,Turbo Shaft,Unknown,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause
1993-10-29,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Substantial,,Bell,206L-3,No,1.0,Turbo Shaft,Other Work Use,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
1993-10-29,W. CAMERON 240,,Fatal(1),Destroyed,,Bell,206B,No,1.0,Turbo Shaft,Business,1.0,0.0,2.0,0.0,IMC,Maneuvering,Probable Cause
1993-10-30,"KINGSTON, JAMAICA",Jamaica,Non-Fatal,Substantial,,Beech,58TC,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,UNK,,Foreign
1993-11-07,PACIFIC OCEAN,PACIFIC OCEAN,Fatal(2),Destroyed,,Hughes,369D,No,1.0,Turbo Shaft,Unknown,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1993-11-13,"MULEGE, MEXICO",Mexico,Non-Fatal,Substantial,Airplane,Piper,PA-32R-300,No,1.0,Reciprocating,Personal,,1.0,3.0,1.0,VMC,,Foreign
1993-11-21,"GUATEMALA CITY, Guatemala",Guatemala,Fatal(13),Destroyed,,Beech,BE-80,No,0.0,Unknown,Unknown,13.0,0.0,0.0,0.0,IMC,,Foreign
1993-11-23,"CAMPECHE, Mexico",Mexico,Non-Fatal,Destroyed,,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,UNK,,Foreign
1993-11-26,"BUENOS AIRES, ARGENTINA",Argentina,Non-Fatal,Substantial,,Mcdonnell Douglas,DC10-30,No,0.0,Unknown,Unknown,0.0,0.0,0.0,123.0,IMC,,Foreign
1994-01-12,DORADO,,Non-Fatal,Substantial,,Robinson,R-22,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
1994-01-13,,France,Non-Fatal,Destroyed,,Beech,BE-90,No,0.0,Unknown,Ferry,0.0,0.0,1.0,0.0,VMC,,Foreign
1994-01-15,GURABO,,Non-Fatal,Substantial,,Robinson,R22B,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1994-01-26,"BAYREUTH, GERMANY",Germany,Non-Fatal,Substantial,,Grumman,AA1B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,Foreign
1994-02-12,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,,,Boeing,747-400,No,4.0,Turbo Fan,Unknown,0.0,1.0,0.0,408.0,VMC,Cruise,Probable Cause
1994-02-15,CULEBRA,,Non-Fatal,Substantial,,Cessna,172K,No,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,Landing,Probable Cause
1994-02-17,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Destroyed,,Piper,PA-34-200,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
1994-02-22,"ROSKILDE, DENMARK",Denmark,Non-Fatal,Substantial,Airplane,Beech,2000 (STARSHIP),No,,Unknown,Business,,,,6.0,UNK,,Foreign
1994-02-24,"TORTOLA, BRITISH VIRGIN ISLANDS",British Virgin Islands,Non-Fatal,Substantial,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,Foreign
1994-02-25,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,,Schweizer,300C,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
1994-03-01,PACIFIC OCEAN,PACIFIC OCEAN,Fatal(2),Destroyed,,Bell,206A,No,1.0,Turbo Shaft,Aerial Observation,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1994-03-01,"NARITA, JAPAN",Japan,Non-Fatal,Substantial,,Boeing,747,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,250.0,VMC,,Foreign
1994-03-10,"COROZAL, HONDURAS",Honduras,Non-Fatal,Substantial,,Bell,206BIII,No,1.0,Turbo Shaft,Aerial Observation,0.0,1.0,0.0,0.0,VMC,,Foreign
1994-03-12,"TANZANIA, SUDAN",Sudan,Non-Fatal,Substantial,,Cessna,C 182,No,,Unknown,Unknown,0.0,0.0,0.0,2.0,UNK,,Foreign
1994-03-13,"CAY SAL, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Cessna,T-337-B,No,,Unknown,Aerial Observation,0.0,1.0,1.0,0.0,VMC,,Foreign
1994-03-15,"JEREMIE, Haiti",Haiti,Non-Fatal,Destroyed,,Cessna,402B,No,,Unknown,Unknown,0.0,6.0,3.0,0.0,VMC,,Foreign
1994-03-21,"MT. FAIRWEATHER, CANADA",Canada,Non-Fatal,Substantial,,Grumman,G21A,No,2.0,Reciprocating,Public Aircraft,0.0,0.0,1.0,2.0,VMC,Climb,Probable Cause
1994-03-25,"CAT ISLAND, Bahamas",Bahamas,Non-Fatal,Destroyed,,Cessna,402B,No,,Unknown,Personal,0.0,2.0,0.0,0.0,VMC,,Foreign
1994-03-30,"INGOLSTADT, GERMANY",Germany,Non-Fatal,Substantial,,Cessna,CE-421C,No,,Unknown,Executive/corporate,0.0,0.0,0.0,7.0,VMC,,Foreign
1994-04-04,"SEVILLE, SPAIN",Spain,Non-Fatal,Substantial,,Learjet,55,Yes,,Unknown,Business,0.0,0.0,0.0,10.0,VMC,,Foreign
1994-04-04,"ROMSLEY, UNITED KINGDOM",United Kingdom,Non-Fatal,Substantial,,Abc,ABC 60 PLUS,No,,Unknown,Business,0.0,0.0,0.0,2.0,VMC,,Foreign
1994-04-10,MAYAGUEZ,,Non-Fatal,Substantial,,Bell,206B,No,1.0,Turbo Shaft,Aerial Observation,0.0,1.0,2.0,1.0,VMC,Maneuvering,Probable Cause
1994-04-10,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Substantial,,Schweizer,300C,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1994-05-07,HIGH ISLAND 334,HIGH ISLAND,Non-Fatal,Destroyed,,Piper,PA-46-310P,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,2.0,VMC,Cruise,Probable Cause
1994-05-07,"MUNJACK CAY, Bahamas",Bahamas,Fatal(1),Destroyed,,"Blackmun, Larry",KITFOX IV 1200,Yes,,Unknown,Personal,1.0,1.0,0.0,0.0,VMC,,Foreign
1994-05-08,"MAIQUETIA, Venezuela",Venezuela,Incident,Minor,,Mcdonnell Douglas,DC9-34,No,,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,,Foreign
1994-05-10,"MOCA, Dominican Republic",Dominican Republic,Fatal(4),Destroyed,,Beech,BE65-A80,No,,Unknown,Unknown,4.0,0.0,0.0,0.0,VMC,,Foreign
1994-05-18,"HERRERA, DOMINICAN REPUBLIC",Dominican Republic,Non-Fatal,Substantial,,Piper,PA-31-350,No,,Unknown,Positioning,0.0,0.0,0.0,7.0,VMC,,Foreign
1994-06-13,"CONGOTOWN, CONGO",Congo,Non-Fatal,Substantial,,Cessna,401A,Yes,2.0,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,,Foreign
1994-06-19,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Substantial,,Piper,PA-23-250,No,2.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,3.0,VMC,Maneuvering,Probable Cause
1994-06-29,CARIBBEAN SEA,CARIBBEAN SEA,Non-Fatal,Minor,,Mcdonnell Douglas,MD-11,No,3.0,Turbo Fan,Unknown,0.0,2.0,15.0,80.0,VMC,Cruise,Probable Cause
1994-07-01,PALMAS DEL MAR,,Fatal(1),Destroyed,,Fullana,QUICKSILVER GT-500,Yes,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause
1994-07-07,GILBERT ISLANDS,,Non-Fatal,Substantial,,Hughes,369HS,No,1.0,Turbo Shaft,Aerial Observation,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause
1994-07-08,GULF OF MEXICO,GULF OF MEXICO,Fatal(1),Destroyed,,Piper,PA-32-260,No,1.0,Reciprocating,Personal,1.0,3.0,0.0,0.0,VMC,Cruise,Probable Cause
1994-07-10,GULF OF MEXICO,GULF OF MEXICO,Fatal(2),Destroyed,,Piper,PA-34-200,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause
1994-07-11,"CUXHAVEN, Germany",Germany,Fatal(1),Destroyed,,North American,F-100F,No,,Unknown,Business,1.0,0.0,0.0,0.0,VMC,,Foreign
1994-07-17,ROTA ISLAND,,Non-Fatal,Substantial,,Cessna,177,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
1994-07-24,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,,"Smith, Ted Aerostar",AEROSTAR 601,No,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause
1994-08-01,"GREAT INAGUA, TURKS AND CAICOS ISLANDS",Turks And Caicos Islands,Non-Fatal,Substantial,,Piper,PA28-180,No,,Unknown,Personal,0.0,0.0,0.0,4.0,VMC,,Foreign
1994-08-09,"SALAMA, Guatemala",Guatemala,Fatal(5),Destroyed,,Bell,UH-1B,No,,Unknown,Personal,5.0,0.0,0.0,0.0,IMC,,Foreign
1994-08-09,"CREEL, Mexico",Mexico,Fatal(1),Destroyed,,Cessna,182,No,,Unknown,Unknown,1.0,0.0,2.0,0.0,VMC,,Foreign
1994-08-15,"TRUK ISLAND, FEDERATED STATES OF MICRONESIA",Federated States Of Micronesia,Fatal(1),Substantial,,Bell,47-G3B,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Landing,Probable Cause
1994-08-18,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Piper,PA-23,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
1994-08-22,AGUADILLA,Puerto Rico,Non-Fatal,Substantial,,Cessna,152,No,1.0,Reciprocating,Ferry,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause
1994-08-27,"CANUTO, St Lucia",St Lucia,Fatal(5),Destroyed,,Casa,212-A,No,,Unknown,Aerial Observation,5.0,0.0,0.0,0.0,IMC,,Factual
1994-08-28,MISSING,MISSING,Fatal(2),Destroyed,,Piper,PA-32-300,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1994-09-14,"PRINCE GEORGE, CANADA",Canada,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,,Unknown,Personal,,,,1.0,VMC,,Foreign
1994-09-17,PACIFIC OCEAN,PACIFIC OCEAN,Fatal(2),Substantial,,Bell,47G-5,No,1.0,Reciprocating,Aerial Observation,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause
1994-09-19,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,,,Boeing,737-400,No,2.0,Turbo Jet,Unknown,0.0,1.0,0.0,131.0,IMC,Descent,Probable Cause
1994-09-19,MISSING,MISSING,Fatal(5),Destroyed,,Piper,PA-23-250,No,2.0,Reciprocating,Personal,5.0,0.0,0.0,0.0,IMC,Unknown,Probable Cause
1994-09-20,"LONG ISLAND, BAHAMAS",Bahamas,Non-Fatal,Substantial,Airplane,Piper,PA32R-301T,No,,Unknown,Personal,,,,6.0,VMC,,Foreign
1994-09-23,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,,Hughes,369D,No,1.0,Turbo Shaft,Other Work Use,0.0,2.0,0.0,0.0,VMC,Cruise,Probable Cause
1994-09-23,"WESTMAN ISLES, Iceland",Iceland,Fatal(2),Destroyed,Airplane,Aero Commander,500S,No,,Unknown,Unknown,2.0,,,,UNK,,Foreign
1994-09-27,"LAKE ERIE, Canada",Canada,Fatal(1),Destroyed,,Beech,C35,No,,Unknown,Business,1.0,0.0,0.0,0.0,UNK,,Foreign
1994-10-13,,Switzerland,Unavailable,Substantial,,Piper,PA28RT-201,No,,Unknown,Unknown,0.0,0.0,0.0,0.0,UNK,,Foreign
1994-10-14,"EXUMA ISLAND, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Cessna,402B,No,,Unknown,Unknown,0.0,0.0,0.0,8.0,VMC,,Foreign
1994-11-01,"COZUMEL, Mexico",Mexico,Fatal(14),Destroyed,Helicopter,Bell,212,No,,Unknown,Unknown,14.0,,,,IMC,,Foreign
1994-11-02,"MANGROVE KEY, CONGO",Congo,Fatal(2),Substantial,,Piper,PA-23-250,No,,Unknown,Unknown,2.0,0.0,0.0,0.0,VMC,,Foreign
1994-11-12,GULF OF MEXICO,GULF OF MEXICO,Fatal(1),Destroyed,,Pezetel,106A,No,1.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1994-11-13,"CORDOBA, ARGENTINA",Argentina,Non-Fatal,Substantial,,Fairchild Hiller,F-27F,Yes,,Unknown,Unknown,0.0,0.0,0.0,46.0,VMC,,Foreign
1994-11-18,"TRIPUI, MEXICO",Mexico,Non-Fatal,Substantial,Airplane,Piper,PA-32R-300,No,,Unknown,Personal,,,,4.0,VMC,,Foreign
1994-11-21,"ST. VINCENT, Spain",Spain,Fatal(3),Destroyed,,Piper,PA28,No,,Unknown,Personal,3.0,0.0,0.0,0.0,VMC,,Foreign
1994-12-02,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,,Britten-norman,ISLANDER BN2B-20,No,2.0,Reciprocating,Ferry,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause
1994-12-04,FAJARDO,,Non-Fatal,Substantial,,Piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
1994-12-06,"CARACAS, VENEZUELA",Venezuela,Non-Fatal,Substantial,,Israel Aircraft Industries,WESTWIND-1123,No,,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,,Foreign
1994-12-15,"LOBITO, Central African Republic",Central African Republic,Fatal(2),Destroyed,,Douglas,DC-3C,Yes,,Unknown,Business,2.0,0.0,0.0,0.0,VMC,,Foreign
1994-12-20,"SPANISH CAY, BAHAMAS",Bahamas,Non-Fatal,Substantial,,Mooney,M20J,No,,Unknown,Personal,0.0,0.0,0.0,3.0,VMC,,Foreign
1994-12-21,"COVENTRY, Algeria",Algeria,Fatal(5),Destroyed,,Boeing,B737-2D6C,No,,Unknown,Unknown,5.0,0.0,0.0,0.0,IMC,,Foreign
1994-12-21,"BUENOS AIRES, ARGENTINA",Argentina,Non-Fatal,Substantial,,North American,NA-265-40,No,,Unknown,Unknown,0.0,0.0,0.0,2.0,VMC,,Foreign
1994-12-28,CHUUK ISLAND,,Fatal(2),Destroyed,,Mcdonnell Douglas,500,No,1.0,Turbo Shaft,Aerial Observation,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1994-12-29,"VAN, Turkey",Turkey,Fatal(54),Destroyed,Airplane,Boeing,737-400,No,,Unknown,Unknown,54.0,21.0,,,IMC,,Foreign
1995-01-04,"TOLUCA, Mexico",Mexico,Fatal(2),Destroyed,,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,Foreign
